ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M_Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail
GSCLR041319C,Graffiti STICK,CLEARStick - 4mil,"13""x19""",0.15935452,100,2.39,2.9,3.22,3.39,4.06,4.35,4.64,4.93,5.22,5.8
GSSILS041319S,Graffiti STICK,SILVERStick - 4mil,"13""x19""",0.15935452,100,2.31,2.8,3.11,3.27,3.92,4.2,4.48,4.76,5.04,5.6
GSPAP041218S,Graffiti STICK,PAPERStick - 4mil,"12x18""",0.13935456,100,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
GSPAP041319W,Graffiti STICK,PAPERStick - 4mil,"13x19""",0.15935452,100,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
GSPAP042130S,Graffiti STICK,PAPERStick - 4mil,"20.9""x29.5""",0.397773398,100,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
GSMAG1613x19L,Graffiti STICK,MAGNETICS - 16mil,"13""x19""",0.15935452,100,9.77,11.86,13.18,13.87,16.6,17.79,18.98,20.16,21.35,23.72
GSDUR061319W2,Graffiti STICK,DURAStick - 6mil,"13""x19""",0.15935452,200,2.47,3,3.33,3.51,4.2,4.5,4.8,5.1,5.4,6
GSSLI061319C,Graffiti STICK,SlickStick Clear - 6mil,"13""x19""",0.15935452,100,8.21,9.96,11.07,11.65,13.95,14.95,15.94,16.94,17.94,19.93
GSSLI061319W,Graffiti STICK,SlickStick White - 6mil,"13""x19""",0.15935452,100,8.21,9.96,11.07,11.65,13.95,14.95,15.94,16.94,17.94,19.93
SOWVB645410S,Solvit Sign & Display Media,One Way Vision Film 7mil - 60:40,"54""x100'",41.806368,1,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
SOWVB646010S,Solvit Sign & Display Media,One Way Vision Film 7mil - 60:40,"60""x100'",46.45152,1,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
SOWVB735410S,Solvit Sign & Display Media,One Way Vision Film 7mil - 70:30,"54""x100'",41.806368,1,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
SOWVB736010S,Solvit Sign & Display Media,One Way Vision Film 7mil - 70:30,"60""x100'",46.45152,1,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
SPETG083810L,Solvit Sign & Display Media,Polyester (Grey Back) Banner 8mil,"38""x100'",29.419296,1,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
SPETG083816L,Solvit Sign & Display Media,Polyester (Grey Back) Banner 8mil,"38""x165'",48.5418384,1,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
